租赁方式,户型,面积,装修,朝向,高低,楼层,小区名,区域,次级区域,详细地址,详情,亮点,描述,URL,价格,周期,押金
整租,1室1厅1卫,69, ,东,中层,21层,力度家园,海淀,清河,"
                                清河中街                            ", 床 衣柜 沙发 冰箱 洗衣机 空调 宽带 暖气 可做饭 阳台 独立卫生间 , 已传房本 配套齐全 有阳台 随时看房 ,"出租要求

一家人
一年起租
租户稳定
",https://bj.58.com/zufang/37179199610780x.shtml,6500,元/月,押一付三
整租,2室1厅1卫,95,精装修,南北,低层,27层,强佑清河新城,海淀,清河,"
                                京藏高速辅路,近清河中街                            ", 床 衣柜 沙发 电视 冰箱 洗衣机 空调 热水器 宽带 暖气 可做饭 阳台 独立卫生间 , 配套齐全 精装修 ,房源描述 感谢您在百忙之中浏览我的房源信息！本人保证：不会带您看与您预期较大的房源， 本人郑重承诺：该房源有效，所有图片为房屋的写照！希望我的房源描述为您找房带来帮助。 1、户型特别好好 干净整洁。房子格局非常棒，采光非常好 2、小区地理位置好，环境优雅 ，购物非常方便 3、公交线路众多，四通八达；靠近五环路、机场高速、，出行非常便利 地铁：地铁站2000米 4、配套全，平时很爱惜房子，所以房子保持特别好。 5、周边生活配套完善，应有尽有，满足一切生活需求 描述 我主要负责清河附近的小区安宁里南区、安宁里小区、安宁佳园、丝绸厂宿舍、水利局宿舍、上林溪、毛纺厂北小区、毛纺厂南小区、力度家园、阳光北里、强佑清河新城、清上园、燕清源，海清园等这附近的小区！   以上房价根据装修和新旧小区  价格不等  我会提供给您优质的服务！  ,https://bj.58.com/zufang/37289189536151x.shtml,7000,元/月,押一付三
整租,2室1厅1卫,108,简单装修,南,高层,17层,定慧福里北区,海淀,西八里庄,"
                                八里庄路63号                            ", 床 衣柜 沙发 电视 冰箱 洗衣机 空调 热水器 宽带 暖气 可做饭 阳台 独立卫生间 , 邻地铁 配套齐全 普通装修 ,房源描述房屋亮点：邻地铁  配套齐全  精装修房源描述房源描述1、户型：二室一厅一卫，东朝向 ，低楼层，小区去年改造，小区环境好。不临街。2、装修：精装修，高档家具家电齐全，图片是我刚拍的，室内设施可以看图片，这种配置租这个价位合理。业主诚意出租，现在空置。3、看房：提前预约即可，您方便的时候给我一个电话，尽快带您看房。4、社区环境：物业是北京连续五年的优质物业，管理方式非常严格，在此居住能彰显您尊贵的身份。小区绿化率近70%，环境幽雅，欧式建筑，中式园林。5、地理位置：交通便利，5分钟即可到达地铁站，步行5分钟即可到达公交站，公交线路众多，四通八达。6、配套设施：附近有超市、饭店、银行，周边生活配套设施可谓一应俱全，足够满足您的日常生活需求,https://bj.58.com/zufang/37310648764191x.shtml,5400,元/月,押一付二
整租,3室1厅1卫,100,精装修,南北,高层,6层,万寿寺北里,海淀,魏公村,"
                                紫竹院路                            ", 床 衣柜 沙发 电视 冰箱 洗衣机 空调 热水器 宽带 暖气 可做饭 阳台 独立卫生间 , 配套齐全 精装修 ,"房源描述
房源介绍

1、户型：3室1厅1厨1卫

2、朝向：南北，精装修装修
3、面积：100平方米
4、价格：13000元
5、环境：房子采光好，小区环境优美，24治安管理，周围交通方便，购物方便。
6、有需要的请和我联系，我愿意为您找个温馨的家。也许很多虚假的房子让您困扰，我推荐的房子纯属真实房源，能为您找到一个温馨的家，一直作为我的首要任务。
",https://bj.58.com/zufang/37313088911495x.shtml,13000,元/月,面议
整租,1室1厅1卫,28,精装修,南,共4层, ,花园村社区,海淀,花园桥,"
                                车公庄西路                            ", 床 衣柜 沙发 电视 冰箱 洗衣机 空调 热水器 宽带 暖气 可做饭 独立卫生间 , 押一付一 配套齐全 精装修 ,房源描述 地理位置： 公寓位于海淀区紫竹院南路7号院。地理位置优越，毗邻西直门，花园桥，白石桥，航天桥。距6、9号线白石桥南地铁站骑行5分钟，距紫竹院公园步行9分钟，距动物园驾车12分钟，距西单驾车15分钟，距中关村驾车20分钟。出门300米处有车站可直达中关村，动物园，西直门凯德MALL，金源燕莎购物中心。 周边配套： 家乐福超市，银行，京民医院，平价药店，西直门凯德MALL，屈臣氏，紫竹院公园，三虎桥菜市场，星巴克、海底捞、大鸭梨等餐饮及娱乐设施一应俱全，为您提供丰富多彩的周边配套设施。 公寓特色： 免费健身房，免费休闲区，免费公共区域保洁，24H安保， 24H专职管家服务等。房间家具家电配备齐全，24H热水及独立卫浴，开放式厨房，24H全方位的安全系统，出入口的电子门禁系统，安全有保障，使您住的放心。定期举行的联谊活动。 优惠活动： 1.会员专享优惠---房价折扣等你来 2.“白住”活动进行中---真白住，不套路 3.个税抵扣---个税可抵扣，魔方来帮您,https://jxjump.58.com/service?target=FCADV8oV3os7xtAj_6pMK7rUlr2F-i3f_Rs33Y7jo58NYvJTZpk1zEffDjpdRkNz3Q5xoKYl4Bi0ja0Qy5lcL6DvDM5HrHiu857SpyBP1ZKMCGY2iZHHkKqz_Ig8kKnQG8O_GeEvZYetOdm4yt57eaDLv2oukfCbRGVaWhwAwIAsnVFVGVkJ-frjEcIsiu1SCX0XjkLSM6tgFzHGAsWfBF49Ox0gnTnuV4ut2oMzJts5psgXHC9RDJsq_QA&pubid=63872300&apptype=0&psid=139980480203461679741247026&entinfo=37402857805080_0&cookie=|||&fzbref=1&key=&params=rank0830gspanxuan0099^desc,5500,元/月,押一付一
整租,1室0厅1卫,56,精装修,南北,中层,20层,永安东里小区西院,海淀,五路居,"
                                西八里庄路                            ", 床 衣柜 沙发 电视 冰箱 洗衣机 空调 热水器 宽带 暖气 可做饭 阳台 独立卫生间 , 配套齐全 精装修 ,房源描述 当您为了租房而来去奔波或者头疼的时候，您不妨拿起手机，发个信息或者打个电话。也许，经过我们的沟通，您会更加的清晰明了您真正的需求。 房屋介绍： 1.房屋条件优越，楼层适中、整体干净整洁，全新精美装修。 2.正规居民楼，格局规整，南北通透，采光好，无遮挡。 3.家电家具齐全，无线WiFi，室内配实木床，衣柜，电脑桌等。 4.包物业取暖费用，全年家电免费维修。 5.地理位置优越，交通便利，周边生活设施齐全。 交通介绍： 多条线路站点为您出行更加方便、快捷。 特别提示： 此房源信息描述不够详细，如有任何问题，我会详细、耐心的为您一一解答。根据您的住房要求，以及当前市场价位、我会给您一个价位低、性价比高，并且适合您的房子。 合同到期退房当天 我们将押金全部退还。   【置业专家】：我是--置业店经理-张志兵，入职3年，目前就职于曙光花园店.主要经营【紫竹桥、车道沟、北洼路、慈寿寺、五路居、花园桥、世纪城、四季青】区域的二手房租赁和买卖业务，很高兴您能浏览我的帖子.我将用我的真诚和专业为您服务.竭诚助您找到安家乐土 【服务区域】：慧友国际大厦 中国兵器大厦 德润科技大厦 玲珑天地 华澳中心 首师大 化工大 车道沟南里 车道沟东里 车道沟10号院 中海雅园 双紫小区 七贤村 富丽小区 又一村 曙光花园 农林科学院 金庄小区 望福园望河园 望塔园 观澜国际 五福玲珑居 西荣阁 美丽西园 美丽经典园 美丽园 金雅园 诚品建筑 五棵松26号院 昌运宫 北洼西里 北洼东里 紫竹院小区 小南庄 常青园北里 常青园一区 郦城三区 颐慧佳园 绿波漫板裕泽园 水云居 玫瑰御园 玲珑花园 财智公馆 化工大学 恩济里小区 永安东里 西八里庄北里西钓鱼台庄园 定慧西里 八宝庄小区 恩济花园 定慧家园 北京印象 财智会馆 西木小区 汤泉逸墅 五路居小区 田村小区 五孔桥六建宿舍 西山国际城 门头新村 德顺园北坞嘉园南里北坞嘉园西里 北坞嘉园北里 辐射范围：世纪城，万柳，中关村，苏州街，厂洼，北洼路，车道沟，曙光，四季青，定慧寺，西山，田村、玉泉路、魏公村，紫竹院，白石桥等。 包含但不限于以下楼盘：远大园一区、远大园二区、远大园三区、远大园四区、远大园五区、远大园六区、鲁园上河村、远大路22号院、金夕园、晨月园、烟树园、晴波园、晴雪园、观山园、垂虹园、时雨园、春荫园、翠叠园、怡丽南园、怡丽北园。万城华府龙园、万城华府玺园、万城华府海园、万城华府尚园、万柳书院、万泉新新家园、碧水云天、光大水墨风景、康桥水郡、锋尚国际公寓、光大花园、光大西园、蜂鸟家园、涧桥泊屋、锋尚名居、阳春光华橡树园、阳春光华枫树园、新纪元家园、汇新家园、山水倾城、新起点嘉园、怡秀园、怡水园、小南庄、万泉庄、稻香园西里。厂洼小区、西三环北路。水岸名居、车道沟十号院、车道沟南里、车道沟东里、十号名邸、美林花园、华澳中心、紫竹花园、西苑小区、昌运宫、八里庄61号院、八里庄62号院、八里庄63号院、*宿舍、定慧寺东里、定慧寺西里、定慧寺北里、定慧福里、恩济里、西八里庄北里、八宝庄小区、北京印象、瑞新里、永安东里、双紫小区、富丽小区、中海雅园、财智会馆、汤泉逸墅、诸子阶、we-house、香山清琴、御墅临枫、门头馨村、四季香山、香山四季、郦城、常青园一区、常青园北里、和泓四季、檀香山、溪山嘉园、天香颐北里、天香颐中里、天香颐南里、西山美墅馆、京泉馨苑等 包含但不限于以下地铁线路：地铁10号线苏州街、地铁10号线巴沟、地铁10号线火器营、地铁10号线长春桥、地铁10号线车道沟、地铁10号线慈寿寺、地铁10号线西钓鱼台、地铁10号线公主坟，地铁6号线五路居、地铁6号线慈寿寺、地铁6号线花园桥。 包含但不限于以下商超：远大路1号世纪金源购物中心、万柳巴沟华联超市、金四季购物中心、欧尚超市、沃尔玛超市、卜蜂莲花超市、物美超市、家乐福超市、超市发。 包含但不限于以下酒店：世纪金源大酒店、香格里拉大酒店、永泰福朋喜来登*酒店、凯瑞御仙都、美泉宫、海友酒店、隆屋*酒店。 包括但不限于以下大型写字楼：万柳亿城中心、金源时代商务中心、农科大厦、玲珑阁、玲珑天地、汇博大厦、万泉商务花园、嘉豪国际、博远大厦、中国兵器、中国*、益泰大厦、北方地产。 包括但不限于以下医院：四季青医院、北京肿瘤医院、解放军*总医院、北方医院、海淀妇幼保健医院。 产权性质包括：写字楼、酒店公寓、住宅、洋房、别墅、商业店铺、厂房、仓库等，可用于居住、办公、会所、经营、仓储、接待等各种用途。,https://bj.58.com/zufang/37382605991450x.shtml,3300,元/月,押一付三
整租,1室1厅1卫,70,精装修,东,中层,6层,西山国际城,海淀,田村,"
                                阜石路甲69号                            ", 床 电视 冰箱 洗衣机 空调 热水器 宽带 暖气 , 配套齐全 精装修 ,房源描述1、位置好：西山国际城位于海淀区西四环外，在和巨山路交叉口，可以直接上四环或者五环，是五环内性价比较好的房子。 2、户型好：此房是正规的一居室，楼下是客厅、厨房、楼上是卧室和1个卫生间，西式厨房，楼上卧室也会比较大。室内都已经贴了壁纸，直接可以入住。 3、装修好：业主自己住的房子，精心设计装修的，可以直接入住。欢迎来电咨询或加私聊（手机号）          ,https://bj.58.com/zufang/37222451116434x.shtml,6000,元/月,押一付三
整租,2室1厅1卫,68,精装修,南北,低层,6层,龙翔路小区(西区),海淀,牡丹园,"
                                龙翔路                            ", 床 衣柜 沙发 电视 冰箱 洗衣机 空调 热水器 宽带 暖气 可做饭 阳台 独立卫生间 , 配套齐全 精装修 ,房源描述	房源编号：FY0033434952       房屋亮点邻地铁 配套齐全 精装修   房源描述房源描述  当您为了租房而来去奔波或者头疼的时候，您不妨拿起手机，发个信息或者打个电话。也许，经过我们的沟通，您会更加的清晰明了您真正的需求。房屋介绍：1.房屋条件优越，楼层适中、整体干净整洁，全新精美装修。2.正规居民楼，格局规整，南北通透，采光好，无遮挡。3.家电家具齐全，无线WiFi，室内配实木床，衣柜，电脑桌等。4.包物业取暖费用，全年家电免费维修。5.地理位置优越，交通便利，周边生活设施齐全。交通介绍：多条线路站点为您出行更加方便、快捷。  ,https://jxjump.58.com/service?target=FCADV8oV3os7xtAj_6pMK7rUlr2F-i3f_Rs33o68ch61PcvXZpk1zEffDjpdRkNz3Q5xoKYl4Bi0ja0Rp3VNDZgAuFxKCtTHV3SPhyBP1ZKMCGY0mhhC4m7N7p2lYFUcxIA1MeEvZYetOdm63BuhRypVvZ4ukfCbRGVaWhwAwIAsnVFVGVkJ-frjEcIsiu1SCX0XjctJx58U6RsVSFZIylaqOK0gnTnuV4ut2oMzJts5psgWZGAfLB2zanA&pubid=63768961&apptype=0&psid=108266605203461695527402794&entinfo=37393580723464_0&cookie=|||&fzbref=1&key=&params=rank0830gspanxuan0099^desc,6700,元/月,押一付三
整租,2室1厅1卫,60, ,南北,共5层, ,定慧东里,海淀,定慧寺,"
                                西翠路                            ", 床 衣柜 沙发 电视 冰箱 洗衣机 空调 热水器 宽带 暖气 可做饭 阳台 独立卫生间 , 已传房本 邻地铁 配套齐全 精装修 南北通透 有阳台 首次出租 随时看房 ,"出租要求

租户稳定
",https://bj.58.com/zufang/36780764961188x.shtml,4600,元/月,半年付
整租,3室1厅1卫,67,精装修,南北,共5层, ,水科院小区,海淀,军博,"
                                复兴路甲1号                            ", 床 衣柜 沙发 电视 冰箱 洗衣机 空调 热水器 宽带 暖气 可做饭 阳台 独立卫生间 , 配套齐全 精装修 ,"房源描述
是一个值得您信赖的交易平台，公司秉承以客户为尊员工至诚的理念，以客户满意作为我们的目标，在交易的每个环节中力争使客户体验*值的，我们坚信取得客户成功是我们追求长远可持续发展的基石。


房源优势


户型正气 -  ,精装修，格局周正合理，无浪费面积！
性价比高 -  9500元/月，以前业主自住，风格清雅别致!
采光充足 - 楼间距大，无遮挡，采光非常棒！
图片仅供参考



小区简介


地理位置优越，生活环境优雅，出行方便，公交：320路、65路、1路、728路、308路 
地铁：1号线、7号线、9号线，：新意商城、北京万路顺、会城门 华联，：明天幼稚集团3、电信
中：玉渊潭、海淀区羊坊店第五、羊坊店
：中国人民公安，：北京铁路局羊坊店， 完善的配套让您的生活更 舒适、安逸！




",https://bj.58.com/zufang/37377075848995x.shtml,9500,元/月,押一付三
整租,2室1厅1卫,65,精装修,南北,共5层, ,甘家口小区,海淀,甘家口,"
                                甘百路                            ", 床 衣柜 沙发 冰箱 洗衣机 空调 热水器 宽带 暖气 可做饭 阳台 独立卫生间 , 配套齐全 精装修 ,"房源描述

房屋亮点

配套齐全
精装修

房源描述  房屋亮点 配套齐全 精装修   房源描述  1、户型介绍：房子是南北通透两居室，明厨明卫，主卧朝南。卧室18平米，次卧朝北12平米，厨房5平米朝南，卫生间3平米朝北，厅8平米，房子精装修家电全齐，可以直接入住。      2、房源优点：房子在5层，总高5层，厅砖卧木白墙，家具家电全齐 拎包即可入住，采光好，没遮挡。房屋位于阜成路路北，9号线白堆子站东面100米。适合在附近上班族。      3、小区位置：白堆子社区阜北小区，房屋位于阜成路三里河路西北角，位于钓鱼台国宾馆北门对面，距离地铁9号线白堆子3 ，白堆子口西公交车站步行仅500米，地理位置优越。  

",https://jxjump.58.com/service?target=FCADV8oV3os7xtAj_6pMK7rUlr2F-i3f_Rs33HOQ6QpwmldHZpk1zEffDjpdRkNz3Q5xoKYl4Bi0ja0RURIgEQDpBsRQ9vSYtVecgyBP1ZKMCGY1eQCBcjFkwyofKcgntY5fEeEvZYetOdm4-l6OO_ZvrpIukfCbRGVaWhwAwIAsnVFVGVkJ-frjEcIsiu1SCX0XjBOXoHsaT6gD6ctrDXUuay0gnTnuV4ut2oMzJts5psgV4l7iWimkqSA&pubid=63900539&apptype=0&psid=120935560203461684844425557&entinfo=37399656218632_0&cookie=|||&fzbref=1&key=&params=rank0830gspanxuan0099^desc,7500,元/月,押一付三
整租,3室2厅2卫,98,豪华装修,南北,中层,9层,五福玲珑居,海淀,四季青,"
                                彰化路                            ", 床 衣柜 沙发 电视 冰箱 洗衣机 空调 热水器 宽带 暖气 可做饭 阳台 独立卫生间 , 邻地铁 配套齐全 ,"房源描述房源描述 一、房源优势：
1、全明格局，客厅宽敞大气；

2、，楼层；

2、家私家电齐全，提包入住；

二、户型介绍：

1、格局方正，使用率高达90

2、客厅宽敞舒适、落地阳台让充足的阳光不留余地的闯进来

3、厨房宽敞，让您和家人有足够的空间展现私家厨艺

4、连接客厅和厨房之间是您和家人享受美味的餐厅，让您热情的招待亲朋好友

三、社区介绍：

1、环境优美，适宜居住，人文素质高，物业管理完善，小区治安好。

2、小区的小，属于社区，非常适宜居住

3、小区的高达，让您感受花园一样的家。

【置业专家】：我是--置业经纪人-李剑，入职3年，目前职于美丽园店.主要经营【紫竹桥、车道沟、北洼路、慈寿寺、五路居、花园桥、世纪城、四季青】区域的二手房租赁和买卖业务，很高兴您能浏览我的帖子.我将用我的真诚和专业为您.竭诚助您找到安家乐土

【范围】： 慈寿寺 花园桥 西钓鱼台 五路居 车道沟 四季青 田村

慧友国际大厦 中国兵器大厦 德润科技大厦 玲珑天地 华澳 首师大 化工大

车道沟南里 车道沟东里 车道沟10号院 中海雅园 双紫小区 七贤村 富丽小区 又一村 曙光花园 农林科学院 金庄小区 望福园望河园 望塔园 观澜国际 五福玲珑居 西荣阁 美丽西园 美丽经典园 美丽园 金雅园 诚品建筑 五棵松26号院 昌运宫 北洼西里 北洼东里 紫竹院小区 小南庄 常青园北里 常青园一区 郦城三区 颐慧佳园 绿波漫板裕泽园 水云居 玫瑰御园 玲珑花园 财智公馆 化工 恩济里小区 永安东里 西八里庄北里西钓鱼台庄园 定慧西里 八宝庄小区 恩济花园 定慧家园 北京印象 *宿舍 财智会馆 西木小区 汤泉逸墅 五路居小区 田村小区 五孔桥六建宿舍 西山国际城 门头新村 德顺园北坞嘉园南里北坞嘉园西里 北坞嘉园北里

",https://bj.58.com/zufang/37373403797635x.shtml,6000,元/月,押一付三
整租,2室1厅1卫,68,精装修,南北,高层,6层,百草园社区,海淀,马连洼,"
                                马连洼北路128号                            ", 冰箱 , 精装修 ,房源描述百草园 2室 南北通透 68平 6600元                    ,https://bj.58.com/zufang/37379719412101x.shtml,6500,元/月,押一付三
整租,3室2厅2卫,146,简单装修,南北,中层,6层,上地西里,海淀,上地,"
                                上地西路                            ", 床 衣柜 沙发 电视 冰箱 洗衣机 空调 热水器 宽带 暖气 可做饭 阳台 独立卫生间 , 邻地铁 配套齐全 普通装修 ,房源描述房源优势:房屋目前空置，我这里有钥匙，看房提前预约；房屋内可以配有家具家电，看具体客户需要；户型为双卧室、客厅朝南，厨房和次卧室朝北，采光和视野都很好；靠近园区大门和花园广场，出行方便，环境优越；                          ,https://bj.58.com/zufang/37189287143943x.shtml,12500,元/月,押一付三
整租,3室1厅1卫,11.33,精装修,东北,低层,17层,冠城南园,海淀,牡丹园,"
                                马甸东路                            ", 床 衣柜 沙发 电视 冰箱 洗衣机 空调 热水器 宽带 暖气 可做饭 阳台 独立卫生间 , 押一付一 配套齐全 精装修 , ,https://jxjump.58.com/service?target=FCADV8oV3os7xtAj_6pMK7rUlr2F-i3f_Rs33i-NSW5RXSjPZpk1zEffDjpdRkNz3Q5xoKYl4Bi0ja0TSbf-T8M7WeWzv3oN-r9xsyBP1ZKMCGY315cEFUaeoIP26UOvnKTXNeEvZYetOdm63BuhRypVvZ4ukfCbRGVaWhwAwIAsnVFVGVkJ-frjEcIsiu1SCX0Xjq4WJepPM3kIomKHf7-AhBEgnTnuV4ut2oMzJts5psgWZGAfLB2zanA&pubid=62723997&apptype=0&psid=145123248203461697322488225&entinfo=37325434804743_0&cookie=|||&fzbref=1&key=&params=rank0830gspanxuan0099^desc,6130,元/月,押一付一
整租,2室1厅1卫,98,精装修,南,低层,16层,信悦华庭,海淀,军博,"
                                北蜂窝路丙8号                            ", 冰箱 , 精装修 ,"房源描述
请点更多惊喜！！！请点击头像 
一、 房源优势：


 1、信悦华庭楼层：4层,9500.00元/月出租


 2、挑高客厅 宽敞大气


 3、精装


二、 户型介绍：


 户型：2室1厅 ，朝向：正南，格局方正，使用率超赞。


三、 社区介绍：


 环境优美，适宜居住，人文素质高，物业管理完善。


 1、 房屋年代：1990年社区环境好。


 2、小区是集中供暖的。


 3、小区的容积率非常小，属于低密度社区 ，非常适宜居住。


 4、小区的绿化率高，让您感受花园一样的家。


四、交通介绍：






五、个人介绍：


 本房源是新的房源，发布及时，欢迎来电咨询并实地看房！
",https://bj.58.com/zufang/37303607610022x.shtml,9500,元/月,面议
整租,2室1厅1卫,75,精装修,南北,低层,6层,宝盛里,海淀,清河,"
                                龙岗路                            ", 床 衣柜 沙发 电视 冰箱 洗衣机 空调 热水器 宽带 暖气 可做饭 阳台 独立卫生间 , 配套齐全 精装修 ,房源描述   			注：无论租房还是买房首先看的是您能否选对合适的经纪人，因为这关系到后期的服务质量，毕竟， 服务只是成交的开始！ 本人发布房源信息是清河永泰庄这附近正在出租中房源信息，房源照片可能跟真实房屋稍有差别，所以作为参考就好，如有意向，我带您看本房，价格问题我们可以和业主再协商，		 			1.小区绿化率高，非常舒适.		 			2.紧邻物美永辉大型超市，出行便利.紧挨着8号线永泰庄和清河车站。		 			3.希望找爱惜房子的租户，租金可以再商量.		 			4.本房家具家电齐全，可拎包入住.		 			5.各位尊敬的客户和业主，本人主要负责清河永泰，上地周边，西三旗周边小区。欢迎您随时致电！		   			诚信：是本人长久立足本行业之本。无论买房或者租房都可以值得您的信赖。		 ,https://bj.58.com/zufang/37299595681055x.shtml,6300,元/月,押一付三
整租,1室1厅1卫,68,精装修,东,低层,18层,莱圳家园北区,海淀,清河,"
                                育新花园西路                            ", 床 衣柜 沙发 电视 冰箱 洗衣机 空调 热水器 宽带 暖气 可做饭 阳台 独立卫生间 , 配套齐全 精装修 ,房源描述	1，尚诚广告已实地拍摄。2，已实地查勘测量。3，广告发布前已签两书一合同。4，广告发布前已在建委备案。 业主心态 		已面谈过业主，业主同意看房，如需了解详情，恭候您的来电	小区配套	充满了美好的生活气息和家的味道，欢迎您实地了解！ 服务介绍 		我公司成立9年，主做清河区域，珍惜您的信任，全力以赴！	,https://bj.58.com/zufang/37304565845150x.shtml,6000,元/月,押一付二
整租,1室1厅1卫,50,简单装修,南,低层,6层,育新花园,海淀,西三旗,"
                                西三旗东路                            ", 床 衣柜 沙发 电视 冰箱 洗衣机 空调 热水器 宽带 暖气 可做饭 阳台 独立卫生间 , 押一付一 配套齐全 普通装修 ,房源描述 配套：美廉美超市 苏宁易购 肯德基 小区里有超市 北京师范大学附属小学 北医三院 邮政银行 工商银行 泰华龙旗广场购物中心 电影院 健身房等等	  交通：地铁8号线	  出门就是新都公交车站：307路 345路 407路 883路 889路 919路 运通103线快速直达专线121路运通109先 夜38路 315路 371路379路 432路 478路606路 607路614路运通117线 运通119线 专89路 355路 379路 393路 398路693路等等  ,https://bj.58.com/zufang/37402241311271x.shtml,4100,元/月,押一付一
整租,1室1厅1卫,56.75, ,东,高层,21层,荣上居,海淀,知春路,"
                                西五道口2号                            ", 床 衣柜 沙发 电视 冰箱 洗衣机 空调 热水器 宽带 暖气 可做饭 阳台 独立卫生间 , 已传房本 邻地铁 配套齐全 有阳台 首次出租 随时看房 ,"出租要求

禁止养宠物
禁烟
半年起租
",https://bj.58.com/zufang/37232832136088x.shtml,7500,元/月,年付
整租,2室1厅1卫,59,精装修,南北,低层,6层,展春园小区,海淀,五道口,"
                                北四环中路279号                            ", 床 衣柜 沙发 电视 冰箱 洗衣机 空调 热水器 宽带 暖气 可做饭 阳台 独立卫生间 , 邻地铁 配套齐全 精装修 ,房源描述 房源描述   您好!欢迎您在百忙之中打开我的帖子，如有更多需要，请点开我的头像！！ 1、房子是地质大学老师的家属楼，里面居住的人群大多是地质大学的教授，高素质人群，人文气息浓厚； 2、房子装修还行，非常的干净，户型方正，采光通风都不是问题，给人温馨居家感觉，足不出户就能上，居家*； 3、业主是地质大学的退休教授，为人和蔼，因为急于出国，寻找长期稳定的居家客户，只要看上房子，价格可以面谈； 4、出地质大门就是地铁13号线五道口站，诸多公交站牌，交通非常的便利； 5、业主在我店留有钥匙，只要您一个电话，看房随时。,https://bj.58.com/zufang/35999432142658x.shtml,6000,元/月,押一付三
整租,2室2厅1卫,97,精装修,东,低层,20层,华清嘉园,海淀,五道口,"
                                成府路,近中关村东路                            ", 床 衣柜 沙发 电视 冰箱 洗衣机 空调 热水器 宽带 暖气 可做饭 阳台 独立卫生间 , 邻地铁 配套齐全 精装修 ,房源描述地理位置地铁13号线五道口站B口对面，华清嘉园小区，有地下停车库、物业管理良好，专为年轻白领一族建立，处处尽显高档中的不凡与独户型装修房间统一参照*楼盘装修、全套进口*家电家私、高段楼层，采光超棒，视野*、一览清华北大全景交通情况地铁13号线五道口B口马路对面，附近有628、355、711、86、429、562、特19、331、特5、运通110、等20多路公交，徒步仅需*周边配套高尔夫俱乐部、盛捷五*酒店、游泳馆、咖啡厅、*室、酒吧等娱乐设施，韩亚服装市场、华联、超市发、7-11、城乡仓储、保福隆祥等大型超市、商场，妇幼、海淀医院等大型医院，中关村二小，清华、北大、地大、北语、林大、科大、石油、矿大等房源优势租金便宜，业主人很好，只要租户好，所以价格相对比小区同户型要便宜不少；家电齐全，房子精装修，家具家电齐全，可以拎包入住您只需提前半*给我电话，即可带您去看房,https://jxjump.58.com/service?target=FCADV8oV3os7xtAj_6pMK7rUlr2F-i3f_Rs33rgVzU7CzsB_Zpk1zEffDjpdRkNz3Q5xoKYl4Bi0ja0RthMotYdpoFOv4lu2loP30yBP1ZKMCGY2dmBn3wC4dfURCeAMRXI-keEvZYetOdm5tsyc9RWR2I4ukfCbRGVaWhwAwIAsnVFVGVkJ-frjEcIsiu1SCX0XjZ_uz7tvoJN9rKRjvdwCnNkgnTnuV4ut2oMzJts5psgXyCqTYa0pzSw&pubid=63672984&apptype=0&psid=150341788203461694434747651&entinfo=37388405673989_0&cookie=|||&fzbref=1&key=&params=rank0830gspanxuan0099^desc,12000,元/月,面议
整租,2室1厅1卫,84,豪华装修,东北,高层,33层,唐宁ONE,海淀,五道口,"
                                中关村东路16号                            ", 床 衣柜 沙发 电视 冰箱 洗衣机 空调 热水器 宽带 暖气 可做饭 阳台 独立卫生间 , 配套齐全 ,房源描述 1、房间干净整洁，采光好，小区环境优美，购物方便，交通便利，小区地理位置优越，可随时看房入住。 2、租金真实：诚意出租，只要租户稳定，爱惜房子，租金可以协商； 3、房源：家具家电新颖、品质高、家具家电齐全、即可入住; 4、家电齐全：此住房东西通透、阳光充足、室内装修温馨清爽、干净整洁、屋内设施完善：床、衣柜、电脑桌、电视柜、床头柜、餐桌、沙发、冰箱、洗衣机、空调、热水器等家电家具设施匹配完善；,https://jxjump.58.com/service?target=FCADV8oV3os7xtAj_6pMK7rUlr2F-i3f_Rs33S9DNnJspIT7Zpk1zEffDjpdRkNz3Q5xoKYl4Bi0ja0QhuLfp-SQPy6tGxKQX9bQuyBP1ZKMCGY2WE9ow7QWdF_5yMvXxwa7oeEvZYetOdm5tsyc9RWR2I4ukfCbRGVaWhwAwIAsnVFVGVkJ-frjEcIsiu1SCX0Xj9ay1xYJjyikZMhzk9zzIbEgnTnuV4ut2oMzJts5psgXyCqTYa0pzSw&pubid=63446209&apptype=0&psid=148434920203461684367822364&entinfo=37377273187595_0&cookie=|||&fzbref=1&key=&params=rank0830gspanxuan0099^desc,16000,元/月,押一付三
